Test,Output,Nominal,Spec,Weight,Pass/Fail
NCL_SYS_06_FBBN_BFX,V_SUPPLY,,,,
NCL_SYS_06_FBBN_BFX,V_FBBP,,,,
NCL_SYS_06_FBBN_BFX,FBBN_net,,,,
NCL_SYS_06_FBBN_BFX,A<15:0>,,,,
NCL_SYS_06_FBBN_BFX,B<15:0>,,,,
NCL_SYS_06_FBBN_BFX,CI<1:0>,,,,
NCL_SYS_06_FBBN_BFX,SUM<15:0>,,,,
NCL_SYS_06_FBBN_BFX,CO<1:0>,,,,
NCL_SYS_06_FBBN_BFX,Reg_O_ko,,,,
NCL_SYS_06_FBBN_BFX,Reg_I_ko,,,,
NCL_SYS_06_FBBN_BFX,regA,,,,
NCL_SYS_06_FBBN_BFX,regB,,,,
NCL_SYS_06_FBBN_BFX,regCI,,,,
NCL_SYS_06_FBBN_BFX,VDD_90pc,405e-3,,,
NCL_SYS_06_FBBN_BFX,VDD_10pc,45e-3,,,
NCL_SYS_06_FBBN_BFX,VNEG_90pc,-405e-3,,,
NCL_SYS_06_FBBN_BFX,VNEG_10pc,-45e-3,,,
NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_R,11.81e-9,,,
NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_F,17.68e-9,,,
NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_SUM,29.49e-9,,,
NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_R,290.3e-12,,,
NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_F,268.7e-12,,,
NCL_SYS_06_FBBN_BFX,avg_p_ALL,1.672e-6,,,
NCL_SYS_06_FBBN_BFX,avg_p_DUT_1_1,60.87e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_DUT_2_1,61.4e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_DUT_3_1,61.12e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_reg_in,155e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_reg_o,83.58e-9,,,
NCL_SYS_06_FBBN_BFX,/DN_out,,,,
NCL_SYS_06_FBBN_BFX,/nDN_out,,,,
NCL_SYS_06_FBBN_BFX,/DN_in,,,,
NCL_SYS_06_FBBN_BFX,/FBBP_en,,,,
NCL_SYS_06_FBBN_BFX,A1_2_DN_in_delay_R,91.1e-12,,,
NCL_SYS_06_FBBN_BFX,A1_2_DN_in_delay_F,144e-12,,,
NCL_SYS_06_FBBN_BFX,DN_in_2_FBBN_en_delay_R,346.9e-12,,,
NCL_SYS_06_FBBN_BFX,DN_out_2_FBBN_en_delay_F,240e-12,,,
NCL_SYS_06_FBBN_BFX,DN_in_2_FBBP_en_delay_F,155.4e-12,,,
NCL_SYS_06_FBBN_BFX,DN_out_2_FBBP_en_delay_R,133.3e-12,,,
NCL_SYS_06_FBBN_BFX,FBBN_en_2_N_net_delay_R,186.4e-12,,,
NCL_SYS_06_FBBN_BFX,FBBN_en_2_N_net_delay_F,213.8e-12,,,
NCL_SYS_06_FBBN_BFX,FBBP_en_2_P_net_delay_F,786e-12,,,
NCL_SYS_06_FBBN_BFX,FBBP_en_2_P_net_delay_R,1.09e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_DN_in_DET,2.337e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_DN_out_DET,2.27e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_AND,2.815e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_OR,2.071e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_BFX,85.53e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_NLS,240e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_DN_out_INV,1.51e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_FBBP_CIRCUIT,336.6e-9,,,

