Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
Parameters: BFx50_S1pW=320n,,,,,,
1,NCL_SYS_06_FBBN_BFX,V_SUPPLY,,,,
1,NCL_SYS_06_FBBN_BFX,V_FBBP,,,,
1,NCL_SYS_06_FBBN_BFX,FBBN_net,,,,
1,NCL_SYS_06_FBBN_BFX,A<15:0>,,,,
1,NCL_SYS_06_FBBN_BFX,B<15:0>,,,,
1,NCL_SYS_06_FBBN_BFX,CI<1:0>,,,,
1,NCL_SYS_06_FBBN_BFX,SUM<15:0>,,,,
1,NCL_SYS_06_FBBN_BFX,CO<1:0>,,,,
1,NCL_SYS_06_FBBN_BFX,Reg_O_ko,,,,
1,NCL_SYS_06_FBBN_BFX,Reg_I_ko,,,,
1,NCL_SYS_06_FBBN_BFX,regA,,,,
1,NCL_SYS_06_FBBN_BFX,regB,,,,
1,NCL_SYS_06_FBBN_BFX,regCI,,,,
1,NCL_SYS_06_FBBN_BFX,VDD_90pc,405e-3,,,
1,NCL_SYS_06_FBBN_BFX,VDD_10pc,45e-3,,,
1,NCL_SYS_06_FBBN_BFX,VNEG_90pc,-405e-3,,,
1,NCL_SYS_06_FBBN_BFX,VNEG_10pc,-45e-3,,,
1,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_R,11.83e-9,,,
1,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_F,23.08e-9,,,
1,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_SUM,34.91e-9,,,
1,NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_R,289.8e-12,,,
1,NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_F,268.5e-12,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_ALL,3.413e-6,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_DUT_1_1,161.9e-9,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_DUT_2_1,160.3e-9,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_DUT_3_1,159.7e-9,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_reg_in,231.8e-9,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_reg_o,128.7e-9,,,
1,NCL_SYS_06_FBBN_BFX,/DN_out,,,,
1,NCL_SYS_06_FBBN_BFX,/nDN_out,,,,
1,NCL_SYS_06_FBBN_BFX,/DN_in,,,,
1,NCL_SYS_06_FBBN_BFX,/FBBN_en,,,,
1,NCL_SYS_06_FBBN_BFX,A1_2_DN_in_delay_R,72.25e-12,,,
1,NCL_SYS_06_FBBN_BFX,A1_2_DN_in_delay_F,127.3e-12,,,
1,NCL_SYS_06_FBBN_BFX,DN_in_2_FBBN_en_delay_R,179.1e-12,,,
1,NCL_SYS_06_FBBN_BFX,DN_out_2_FBBN_en_delay_F,109.1e-12,,,
1,NCL_SYS_06_FBBN_BFX,FBBN_en_2_N_net_delay_R,836.2e-12,,,
1,NCL_SYS_06_FBBN_BFX,FBBN_en_2_N_net_delay_F,489.5e-12,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_DN_in_DET,3.698e-9,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_DN_out_DET,3.863e-9,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_AND,4.722e-9,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_BFX,175.4e-9,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_DN_out_INV,3.246e-9,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_FBBN_CIRCUIT,190.9e-9,,,
Parameters: BFx50_S1pW=400n,,,,,,
2,NCL_SYS_06_FBBN_BFX,V_SUPPLY,,,,
2,NCL_SYS_06_FBBN_BFX,V_FBBP,,,,
2,NCL_SYS_06_FBBN_BFX,FBBN_net,,,,
2,NCL_SYS_06_FBBN_BFX,A<15:0>,,,,
2,NCL_SYS_06_FBBN_BFX,B<15:0>,,,,
2,NCL_SYS_06_FBBN_BFX,CI<1:0>,,,,
2,NCL_SYS_06_FBBN_BFX,SUM<15:0>,,,,
2,NCL_SYS_06_FBBN_BFX,CO<1:0>,,,,
2,NCL_SYS_06_FBBN_BFX,Reg_O_ko,,,,
2,NCL_SYS_06_FBBN_BFX,Reg_I_ko,,,,
2,NCL_SYS_06_FBBN_BFX,regA,,,,
2,NCL_SYS_06_FBBN_BFX,regB,,,,
2,NCL_SYS_06_FBBN_BFX,regCI,,,,
2,NCL_SYS_06_FBBN_BFX,VDD_90pc,405e-3,,,
2,NCL_SYS_06_FBBN_BFX,VDD_10pc,45e-3,,,
2,NCL_SYS_06_FBBN_BFX,VNEG_90pc,-405e-3,,,
2,NCL_SYS_06_FBBN_BFX,VNEG_10pc,-45e-3,,,
2,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_R,11.82e-9,,,
2,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_F,23.08e-9,,,
2,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_SUM,34.9e-9,,,
2,NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_R,290e-12,,,
2,NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_F,268.5e-12,,,
2,NCL_SYS_06_FBBN_BFX,avg_p_ALL,3.418e-6,,,
2,NCL_SYS_06_FBBN_BFX,avg_p_DUT_1_1,162e-9,,,
